time,value,top,bot,time_step,next_value
0.000108,0.0065019205,1.0,0.0,5e-07,0.0070015825
0.0001085,0.0070015825,1.0,0.0,5e-07,0.0075012203
0.000109,0.0075012203,1.0,0.0,5e-07,0.008000833
0.0001095,0.008000833,1.0,0.0,5e-07,0.0085004205
0.00011,0.0085004205,1.0,0.0,5e-07,0.008999983
0.0001105,0.008999983,1.0,0.0,5e-07,0.00949952
0.000111,0.00949952,1.0,0.0,5e-07,0.009999033
0.0001115,0.009999033,1.0,0.0,5e-07,0.01049852
0.000112,0.01049852,1.0,0.0,5e-07,0.010997983
0.0001125,0.010997983,1.0,0.0,5e-07,0.01149742
0.000113,0.01149742,1.0,0.0,5e-07,0.011996833
0.0001135,0.011996833,1.0,0.0,5e-07,0.012496221
0.000114,0.012496221,1.0,0.0,5e-07,0.012995583
0.0001145,0.012995583,1.0,0.0,5e-07,0.013494921
0.000115,0.013494921,1.0,0.0,5e-07,0.013994234
0.0001155,0.013994234,1.0,0.0,5e-07,0.014493521
0.000116,0.014493521,1.0,0.0,5e-07,0.014992785
0.0001165,0.014992785,1.0,0.0,5e-07,0.015492022
0.000117,0.015492022,1.0,0.0,5e-07,0.015991235
0.0001175,0.015991235,1.0,0.0,5e-07,0.016490424
0.000118,0.016490424,1.0,0.0,5e-07,0.016989587
0.0001185,0.016989587,1.0,0.0,5e-07,0.017488724
0.000119,0.017488724,1.0,0.0,5e-07,0.017987838
0.0001195,0.017987838,1.0,0.0,5e-07,0.018486926
0.00012,0.018486926,1.0,0.0,5e-07,0.018985989
0.0001205,0.018985989,1.0,0.0,5e-07,0.019485027
0.000121,0.019485027,1.0,0.0,5e-07,0.01998404
0.0001215,0.01998404,1.0,0.0,5e-07,0.020483028
0.000122,0.020483028,1.0,0.0,5e-07,0.020981992
0.0001225,0.020981992,1.0,0.0,5e-07,0.021480931
0.000123,0.021480931,1.0,0.0,5e-07,0.021979844
0.0001235,0.021979844,1.0,0.0,5e-07,0.022478733
0.000124,0.022478733,1.0,0.0,5e-07,0.022977596
0.0001245,0.022977596,1.0,0.0,5e-07,0.023476435
0.000125,0.023476435,1.0,0.0,5e-07,0.023975248
0.0001255,0.023975248,0.0,0.0,5e-07,0.023981484
0.000126,0.023981484,0.0,0.0,5e-07,0.022985375
0.0001265,0.022985375,0.0,1.0,5e-07,0.022484237
0.000127,0.022484237,0.0,1.0,5e-07,0.021983126
0.0001275,0.021983126,0.0,1.0,5e-07,0.02148204
0.000128,0.02148204,0.0,1.0,5e-07,0.020980978
0.0001285,0.020980978,0.0,1.0,5e-07,0.020479942
0.000129,0.020479942,0.0,1.0,5e-07,0.019978931
0.0001295,0.019978931,0.0,1.0,5e-07,0.019477945
0.00013,0.019477945,0.0,1.0,5e-07,0.018976983
0.0001305,0.018976983,0.0,1.0,5e-07,0.018476047
0.000131,0.018476047,0.0,1.0,5e-07,0.017975135
0.0001315,0.017975135,0.0,1.0,5e-07,0.017474249
0.000132,0.017474249,0.0,1.0,5e-07,0.016973387
0.0001325,0.016973387,0.0,1.0,5e-07,0.016472552
0.000133,0.016472552,0.0,1.0,5e-07,0.01597174
0.0001335,0.01597174,0.0,1.0,5e-07,0.015470955
0.000134,0.015470955,0.0,1.0,5e-07,0.014970194
0.0001345,0.014970194,0.0,1.0,5e-07,0.014469457
0.000135,0.014469457,0.0,1.0,5e-07,0.013968746
0.0001355,0.013968746,0.0,1.0,5e-07,0.013468061
0.000136,0.013468061,0.0,1.0,5e-07,0.012967399
0.0001365,0.012967399,0.0,1.0,5e-07,0.012466763
0.000137,0.012466763,0.0,1.0,5e-07,0.011966153
0.0001375,0.011966153,0.0,1.0,5e-07,0.011465567
0.000138,0.011465567,0.0,1.0,5e-07,0.010965006
0.0001385,0.010965006,0.0,1.0,5e-07,0.010464471
0.000139,0.010464471,0.0,1.0,5e-07,0.009963959
0.0001395,0.009963959,0.0,1.0,5e-07,0.009463474
0.00014,0.009463474,0.0,1.0,5e-07,0.008963013
0.0001405,0.008963013,0.0,1.0,5e-07,0.008462578
0.000141,0.008462578,0.0,1.0,5e-07,0.007962167
0.0001415,0.007962167,0.0,1.0,5e-07,0.0074617816
0.000142,0.0074617816,0.0,1.0,5e-07,0.006961421
0.0001425,0.006961421,0.0,1.0,5e-07,0.0064610853
0.000143,0.0064610853,0.0,1.0,5e-07,0.0059607746
0.0001435,0.0059607746,0.0,1.0,5e-07,0.005460489
0.000144,0.005460489,0.0,1.0,5e-07,0.0049602287
0.0001445,0.0049602287,0.0,1.0,5e-07,0.0044599934
0.000145,0.0044599934,0.0,1.0,5e-07,0.003959783
0.0001455,0.003959783,0.0,1.0,5e-07,0.0034595972
0.000146,0.0034595972,0.0,1.0,5e-07,0.0029594367
0.0001465,0.0029594367,0.0,1.0,5e-07,0.0024593014
0.000147,0.0024593014,0.0,1.0,5e-07,0.001959191
0.0001475,0.001959191,0.0,1.0,5e-07,0.0014591054
0.000148,0.0014591054,0.0,1.0,5e-07,0.00095904496
0.0001485,0.00095904496,0.0,1.0,5e-07,0.00045900952
0.000149,0.00045900952,0.0,1.0,5e-07,-4.100092e-05
0.0001495,-4.100092e-05,0.0,1.0,5e-07,-0.00054098637
0.00015,-0.00054098637,0.0,1.0,5e-07,-0.0010409468
0.0001505,-0.0010409468,0.0,1.0,5e-07,-0.0015408823
0.000151,-0.0015408823,0.0,1.0,5e-07,-0.0020407927
0.0001515,-0.0020407927,0.0,1.0,5e-07,-0.0025406783
0.000152,-0.0025406783,0.0,1.0,5e-07,-0.0030405386
0.0001525,-0.0030405386,0.0,1.0,5e-07,-0.003540374
0.000153,-0.003540374,0.0,1.0,5e-07,-0.0040401844
0.0001535,-0.0040401844,0.0,1.0,5e-07,-0.0045399703
0.000154,-0.0045399703,0.0,1.0,5e-07,-0.0050397306
0.0001545,-0.0050397306,0.0,1.0,5e-07,-0.005539466
0.000155,-0.005539466,0.0,1.0,5e-07,-0.0060391766
0.0001555,-0.0060391766,0.0,1.0,5e-07,-0.0065388624
0.000156,-0.0065388624,0.0,1.0,5e-07,-0.007038523
0.0001565,-0.007038523,0.0,1.0,5e-07,-0.0075381584
0.000157,-0.0075381584,0.0,1.0,5e-07,-0.008037769
0.0001575,-0.008037769,0.0,1.0,5e-07,-0.008537355
0.000158,-0.008537355,0.0,1.0,5e-07,-0.009036915
0.0001585,-0.009036915,0.0,1.0,5e-07,-0.009536451
0.000159,-0.009536451,0.0,1.0,5e-07,-0.010035962
0.0001595,-0.010035962,0.0,1.0,5e-07,-0.010535447
0.00016,-0.010535447,0.0,1.0,5e-07,-0.011034908
0.0001605,-0.011034908,0.0,1.0,5e-07,-0.0115343435
0.000161,-0.0115343435,0.0,1.0,5e-07,-0.012033755
0.0001615,-0.012033755,0.0,1.0,5e-07,-0.01253314
0.000162,-0.01253314,0.0,1.0,5e-07,-0.013032502
0.0001625,-0.013032502,0.0,1.0,5e-07,-0.013531838
0.000163,-0.013531838,0.0,1.0,5e-07,-0.0140311485
0.0001635,-0.0140311485,0.0,1.0,5e-07,-0.014530434
0.000164,-0.014530434,0.0,1.0,5e-07,-0.015029695
0.0001645,-0.015029695,0.0,1.0,5e-07,-0.015528931
0.000165,-0.015528931,0.0,1.0,5e-07,-0.016028142
0.0001655,-0.016028142,0.0,1.0,5e-07,-0.016527329
0.000166,-0.016527329,0.0,1.0,5e-07,-0.01702649
0.0001665,-0.01702649,0.0,1.0,5e-07,-0.017525626
0.000167,-0.017525626,0.0,1.0,5e-07,-0.018024737
0.0001675,-0.018024737,0.0,1.0,5e-07,-0.018523823
0.000168,-0.018523823,0.0,1.0,5e-07,-0.019022884
0.0001685,-0.019022884,0.0,1.0,5e-07,-0.01952192
0.000169,-0.01952192,0.0,1.0,5e-07,-0.020020932
0.0001695,-0.020020932,0.0,1.0,5e-07,-0.02051992
0.00017,-0.02051992,0.0,1.0,5e-07,-0.02101888
0.0001705,-0.02101888,0.0,1.0,5e-07,-0.021517817
0.000171,-0.021517817,0.0,1.0,5e-07,-0.022016728
0.0001715,-0.022016728,0.0,1.0,5e-07,-0.022515615
0.000172,-0.022515615,0.0,1.0,5e-07,-0.023014477
0.0001725,-0.023014477,0.0,1.0,5e-07,-0.023513313
0.000173,-0.023513313,0.0,1.0,5e-07,-0.024012126
0.0001735,-0.024012126,0.0,1.0,5e-07,-0.024510913
0.000174,-0.024510913,0.0,1.0,5e-07,-0.025009675
0.0001745,-0.025009675,0.0,1.0,5e-07,-0.025508411
0.000175,-0.025508411,0.0,1.0,5e-07,-0.026007123
0.0001755,-0.026007123,0.0,0.0,5e-07,-0.026013358
0.000176,-0.026013358,0.0,0.0,5e-07,-0.025017047
0.0001765,-0.025017047,1.0,0.0,5e-07,-0.02451581
0.000177,-0.02451581,1.0,0.0,5e-07,-0.024014596
0.0001775,-0.024014596,1.0,0.0,5e-07,-0.023513407
0.000178,-0.023513407,1.0,0.0,5e-07,-0.023012245
0.0001785,-0.023012245,1.0,0.0,5e-07,-0.022511106
0.000179,-0.022511106,1.0,0.0,5e-07,-0.022009993
0.0001795,-0.022009993,1.0,0.0,5e-07,-0.021508906
0.00018,-0.021508906,1.0,0.0,5e-07,-0.021007841
0.0001805,-0.021007841,1.0,0.0,5e-07,-0.020506805
0.000181,-0.020506805,1.0,0.0,5e-07,-0.020005792
0.0001815,-0.020005792,1.0,0.0,5e-07,-0.019504804
0.000182,-0.019504804,1.0,0.0,5e-07,-0.01900384
0.0001825,-0.01900384,1.0,0.0,5e-07,-0.018502904
0.000183,-0.018502904,1.0,0.0,5e-07,-0.01800199
0.0001835,-0.01800199,1.0,0.0,5e-07,-0.017501103
0.000184,-0.017501103,1.0,0.0,5e-07,-0.017000241
0.0001845,-0.017000241,1.0,0.0,5e-07,-0.016499404
0.000185,-0.016499404,1.0,0.0,5e-07,-0.01599859
0.0001855,-0.01599859,1.0,0.0,5e-07,-0.015497804
0.000186,-0.015497804,1.0,0.0,5e-07,-0.014997041
0.0001865,-0.014997041,1.0,0.0,5e-07,-0.014496303
0.000187,-0.014496303,1.0,0.0,5e-07,-0.013995592
0.0001875,-0.013995592,1.0,0.0,5e-07,-0.013494904
0.000188,-0.013494904,1.0,0.0,5e-07,-0.012994242
0.0001885,-0.012994242,1.0,0.0,5e-07,-0.012493605
0.000189,-0.012493605,1.0,0.0,5e-07,-0.011992993
0.0001895,-0.011992993,1.0,0.0,5e-07,-0.011492405
0.00019,-0.011492405,1.0,0.0,5e-07,-0.010991843
0.0001905,-0.010991843,1.0,0.0,5e-07,-0.010491306
0.000191,-0.010491306,1.0,0.0,5e-07,-0.009990794
0.0001915,-0.009990794,1.0,0.0,5e-07,-0.009490307
0.000192,-0.009490307,1.0,0.0,5e-07,-0.008989845
0.0001925,-0.008989845,1.0,0.0,5e-07,-0.0084894085
0.000193,-0.0084894085,1.0,0.0,5e-07,-0.007988996
0.0001935,-0.007988996,1.0,0.0,5e-07,-0.0074886093
0.000194,-0.0074886093,1.0,0.0,5e-07,-0.0069882474
0.0001945,-0.0069882474,1.0,0.0,5e-07,-0.00648791
0.000195,-0.00648791,1.0,0.0,5e-07,-0.0059875986
0.0001955,-0.0059875986,1.0,0.0,5e-07,-0.0054873116
0.000196,-0.0054873116,1.0,0.0,5e-07,-0.00498705
0.0001965,-0.00498705,1.0,0.0,5e-07,-0.0044868127
0.000197,-0.0044868127,1.0,0.0,5e-07,-0.0039866013
0.0001975,-0.0039866013,1.0,0.0,5e-07,-0.0034864142
0.000198,-0.0034864142,1.0,0.0,5e-07,-0.0029862523
0.0001985,-0.0029862523,1.0,0.0,5e-07,-0.0024861156
0.000199,-0.0024861156,1.0,0.0,5e-07,-0.0019860037
0.0001995,-0.0019860037,1.0,0.0,5e-07,-0.001485917
0.0002,-0.001485917,1.0,0.0,5e-07,-0.0009858552
0.0002005,-0.0009858552,1.0,0.0,5e-07,-0.00048581843
0.000201,-0.00048581843,1.0,0.0,5e-07,1.4193379e-05
0.0002015,1.4193379e-05,1.0,0.0,5e-07,0.00051418017
0.000202,0.00051418017,1.0,0.0,5e-07,0.001014142
0.0002025,0.001014142,1.0,0.0,5e-07,0.0015140787
0.000203,0.0015140787,1.0,0.0,5e-07,0.0020139907
0.0002035,0.0020139907,1.0,0.0,5e-07,0.0025138773
0.000204,0.0025138773,1.0,0.0,5e-07,0.0030137391
0.0002045,0.0030137391,1.0,0.0,5e-07,0.003513576
0.000205,0.003513576,1.0,0.0,5e-07,0.004013388
0.0002055,0.004013388,1.0,0.0,5e-07,0.0045131748
0.000206,0.0045131748,1.0,0.0,5e-07,0.0050129364
0.0002065,0.0050129364,1.0,0.0,5e-07,0.0055126734
0.000207,0.0055126734,1.0,0.0,5e-07,0.0060123852
0.0002075,0.0060123852,1.0,0.0,5e-07,0.006512072
0.000208,0.006512072,1.0,0.0,5e-07,0.007011734
0.0002085,0.007011734,1.0,0.0,5e-07,0.007511371
0.000209,0.007511371,1.0,0.0,5e-07,0.008010983
0.0002095,0.008010983,1.0,0.0,5e-07,0.00851057
0.00021,0.00851057,1.0,0.0,5e-07,0.0090101315
0.0002105,0.0090101315,1.0,0.0,5e-07,0.009509669
0.000211,0.009509669,1.0,0.0,5e-07,0.010009181
0.0002115,0.010009181,1.0,0.0,5e-07,0.010508668
0.000212,0.010508668,1.0,0.0,5e-07,0.01100813
0.0002125,0.01100813,1.0,0.0,5e-07,0.011507567
