time,value,top,bot,time_step,L_value,next_value
0.0304295,0.5402897,0.0,1.0,5e-07,1e-2,0.5397627
0.03043,0.5397627,0.0,1.0,5e-07,1e-2,0.5392357
0.0304305,0.5392357,0.0,1.0,5e-07,1e-2,0.53870875
0.030431,0.53870875,0.0,1.0,5e-07,1e-2,0.53818184
0.0304315,0.53818184,0.0,1.0,5e-07,1e-2,0.53765494
0.030432,0.53765494,0.0,1.0,5e-07,1e-2,0.5371281
0.0304325,0.5371281,0.0,1.0,5e-07,1e-2,0.53660125
0.030433,0.53660125,0.0,1.0,5e-07,1e-2,0.5360744
0.0304335,0.5360744,0.0,1.0,5e-07,1e-2,0.5355476
0.030434,0.5355476,0.0,1.0,5e-07,1e-2,0.5350208
0.0304345,0.5350208,0.0,1.0,5e-07,1e-2,0.5344941
0.030435,0.5344941,0.0,1.0,5e-07,1e-2,0.5339674
0.0304355,0.5339674,0.0,1.0,5e-07,1e-2,0.5334407
0.030436,0.5334407,0.0,1.0,5e-07,1e-2,0.53291404
0.0304365,0.53291404,0.0,1.0,5e-07,1e-2,0.53238744
0.030437,0.53238744,0.0,1.0,5e-07,1e-2,0.5318608
0.0304375,0.5318608,0.0,1.0,5e-07,1e-2,0.5313342
0.030438,0.5313342,0.0,1.0,5e-07,1e-2,0.5308077
0.0304385,0.5308077,0.0,1.0,5e-07,1e-2,0.5302811
0.030439,0.5302811,0.0,1.0,5e-07,1e-2,0.52975464
0.0304395,0.52975464,0.0,1.0,5e-07,1e-2,0.5292282
0.03044,0.5292282,0.0,1.0,5e-07,1e-2,0.5287017
0.0304405,0.5287017,0.0,1.0,5e-07,1e-2,0.5281753
0.030441,0.5281753,0.0,1.0,5e-07,1e-2,0.5276489
0.0304415,0.5276489,0.0,1.0,5e-07,1e-2,0.52712256
0.030442,0.52712256,0.0,1.0,5e-07,1e-2,0.5265962
0.0304425,0.5265962,0.0,1.0,5e-07,1e-2,0.5260699
0.030443,0.5260699,0.0,1.0,5e-07,1e-2,0.5255436
0.0304435,0.5255436,0.0,1.0,5e-07,1e-2,0.5250173
0.030444,0.5250173,0.0,1.0,5e-07,1e-2,0.5244911
0.0304445,0.5244911,0.0,1.0,5e-07,1e-2,0.5239649
0.030445,0.5239649,0.0,1.0,5e-07,1e-2,0.5234387
0.0304455,0.5234387,0.0,1.0,5e-07,1e-2,0.52291256
0.030446,0.52291256,0.0,1.0,5e-07,1e-2,0.52238643
0.0304465,0.52238643,0.0,1.0,5e-07,1e-2,0.5218603
0.030447,0.5218603,0.0,1.0,5e-07,1e-2,0.52133423
0.0304475,0.52133423,0.0,1.0,5e-07,1e-2,0.52080816
0.030448,0.52080816,0.0,1.0,5e-07,1e-2,0.52028215
0.0304485,0.52028215,0.0,1.0,5e-07,1e-2,0.51975614
0.030449,0.51975614,0.0,1.0,5e-07,1e-2,0.5192302
