Time,Iout,IGBT Leg1.PWM_Modulator.TOP_1,IGBT Leg1.PWM_Modulator.BOT_1
0.04306,0.8389745,0.0,1.0
0.0430605,0.83355635,0.0,1.0
0.043061,0.8281409,0.0,1.0
0.0430615,0.8227282,0.0,1.0
0.043062,0.8173182,0.0,1.0
0.0430625,0.81191087,0.0,1.0
0.043063,0.8065063,0.0,1.0
0.0430635,0.80110437,0.0,1.0
0.043064,0.79570514,0.0,1.0
0.0430645,0.79030865,0.0,1.0
0.043065,0.78491485,0.0,1.0
0.0430655,0.77952373,0.0,1.0
0.043066,0.77413535,0.0,1.0
0.0430665,0.7687496,0.0,1.0
0.043067,0.7633666,0.0,1.0
0.0430675,0.75798625,0.0,1.0
0.043068,0.7526086,0.0,1.0
0.0430685,0.7472336,0.0,1.0
0.043069,0.74186134,0.0,1.0
0.0430695,0.73649174,0.0,1.0
0.04307,0.7311249,0.0,1.0
0.0430705,0.72576064,0.0,1.0
0.043071,0.7203991,0.0,1.0
0.0430715,0.71504027,0.0,0.0
0.043072,0.7096841,0.0,0.0
0.0430725,0.70433056,1.0,0.0
0.043073,0.7037286,1.0,0.0
0.0430735,0.71249974,1.0,0.0
0.043074,0.71714234,1.0,0.0
0.0430745,0.7217826,1.0,0.0
0.043075,0.7264206,1.0,0.0
0.0430755,0.7310562,1.0,0.0
0.043076,0.7356895,1.0,0.0
0.0430765,0.7403205,1.0,0.0
0.043077,0.74494916,1.0,0.0
0.0430775,0.74957556,1.0,0.0
0.043078,0.7541996,1.0,0.0
0.0430785,0.75882137,1.0,0.0
0.043079,0.7634408,1.0,0.0
0.0430795,0.76805794,1.0,0.0
0.04308,0.7726727,1.0,0.0
0.0430805,0.7772852,1.0,0.0
0.043081,0.78189546,1.0,0.0
0.0430815,0.7865034,1.0,0.0
0.043082,0.79110897,1.0,0.0
0.0430825,0.79571223,1.0,0.0
0.043083,0.80031323,1.0,0.0
0.0430835,0.8049119,1.0,0.0
0.043084,0.8095083,1.0,0.0
0.0430845,0.8141024,1.0,0.0
0.043085,0.81869423,1.0,0.0
0.0430855,0.82328373,1.0,0.0
0.043086,0.82787097,1.0,0.0
0.0430865,0.8324559,1.0,0.0
0.043087,0.83703846,1.0,0.0
0.0430875,0.84161884,1.0,0.0
0.043088,0.8461969,1.0,0.0
0.0430885,0.8507726,1.0,0.0
0.043089,0.8553461,1.0,0.0
0.0430895,0.8599173,1.0,0.0
0.04309,0.86448616,1.0,0.0
0.0430905,0.86905277,1.0,0.0
0.043091,0.8736171,1.0,0.0
0.0430915,0.8781792,1.0,0.0
0.043092,0.88273895,1.0,0.0
0.0430925,0.88729644,1.0,0.0
0.043093,0.89185166,1.0,0.0
0.0430935,0.89640456,1.0,0.0
0.043094,0.90095526,1.0,0.0
0.0430945,0.90550363,1.0,0.0
0.043095,0.91004974,1.0,0.0
0.0430955,0.9145936,1.0,0.0
0.043096,0.91913515,1.0,0.0
0.0430965,0.92367446,1.0,0.0
0.043097,0.92821145,1.0,0.0
0.0430975,0.93274623,1.0,0.0
0.043098,0.93727875,1.0,0.0
0.0430985,0.94180894,1.0,0.0
0.043099,0.9463369,1.0,0.0
0.0430995,0.95086265,1.0,0.0
0.0431,0.95538604,1.0,0.0
0.0431005,0.95990723,1.0,0.0
0.043101,0.96442616,1.0,0.0
0.0431015,0.9689428,1.0,0.0
0.043102,0.9734572,1.0,0.0
0.0431025,0.97796935,1.0,0.0
0.043103,0.9824792,1.0,0.0
0.0431035,0.9869869,1.0,0.0
0.043104,0.9914923,1.0,0.0
0.0431045,0.9959954,1.0,0.0
0.043105,1.0004963,1.0,0.0
0.0431055,1.0049949,1.0,0.0
0.043106,1.0094912,1.0,0.0
0.0431065,1.0139854,1.0,0.0
0.043107,1.0184773,1.0,0.0
0.0431075,1.0229669,1.0,0.0
0.043108,1.0274543,1.0,0.0
0.0431085,1.0319395,1.0,0.0
0.043109,1.0364224,1.0,0.0
0.0431095,1.0409031,1.0,0.0
0.04311,1.0453814,1.0,0.0
0.0431105,1.0498576,1.0,0.0
0.043111,1.0543317,1.0,0.0
0.0431115,1.0588033,1.0,0.0
0.043112,1.0632728,1.0,0.0
0.0431125,1.0677401,1.0,0.0
0.043113,1.0722051,1.0,0.0
0.0431135,1.0766679,1.0,0.0
0.043114,1.0811284,1.0,0.0
0.0431145,1.0855867,1.0,0.0
0.043115,1.0900428,1.0,0.0
0.0431155,1.0944967,1.0,0.0
0.043116,1.0989484,1.0,0.0
0.0431165,1.1033977,1.0,0.0
0.043117,1.107845,1.0,0.0
0.0431175,1.1122899,1.0,0.0
0.043118,1.1167326,1.0,0.0
0.0431185,1.1211731,1.0,0.0
0.043119,1.1256114,1.0,0.0
0.0431195,1.1300476,1.0,0.0
0.04312,1.1344814,1.0,0.0
0.0431205,1.138913,1.0,0.0
0.043121,1.1433425,1.0,0.0
0.0431215,1.1477697,1.0,0.0
0.043122,1.1521947,1.0,0.0
0.0431225,1.1566175,1.0,0.0
0.043123,1.1610382,1.0,0.0
0.0431235,1.1654565,1.0,0.0
0.043124,1.1698726,1.0,0.0
0.0431245,1.1742866,1.0,0.0
0.043125,1.1786984,1.0,0.0
0.0431255,1.183108,1.0,0.0
0.043126,1.1875153,1.0,0.0
0.0431265,1.1919204,1.0,0.0
0.043127,1.1963234,1.0,0.0
0.0431275,1.2007241,1.0,0.0
0.043128,1.2051226,1.0,0.0
0.0431285,1.2095189,1.0,0.0
0.043129,1.2139131,1.0,0.0
0.0431295,1.218305,0.0,0.0
0.04313,1.218744,0.0,0.0
0.0431305,1.2080889,0.0,1.0
0.043131,1.2024863,0.0,1.0
0.0431315,1.1968864,0.0,1.0
0.043132,1.1912893,0.0,1.0
0.0431325,1.185695,0.0,1.0
0.043133,1.1801037,0.0,1.0
0.0431335,1.174515,0.0,1.0
0.043134,1.1689291,0.0,1.0
0.0431345,1.163346,0.0,1.0
0.043135,1.1577657,0.0,1.0
0.0431355,1.1521883,0.0,1.0
0.043136,1.1466136,0.0,1.0
0.0431365,1.1410416,0.0,1.0
0.043137,1.1354725,0.0,1.0
0.0431375,1.1299062,0.0,1.0
0.043138,1.1243427,0.0,1.0
0.0431385,1.1187819,0.0,1.0
0.043139,1.1132239,0.0,1.0
0.0431395,1.1076686,0.0,1.0
0.04314,1.1021162,0.0,1.0
0.0431405,1.0965666,0.0,1.0
0.043141,1.0910196,0.0,1.0
0.0431415,1.0854756,0.0,1.0
0.043142,1.0799341,0.0,1.0
0.0431425,1.0743955,0.0,1.0
0.043143,1.0688598,0.0,1.0
0.0431435,1.0633267,0.0,1.0
0.043144,1.0577965,0.0,1.0
