"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
    Test the system response for disturbance rejection with different R and C values.
    ","10337","test_rectifier[0.0001-0.0001-1e-06]","","Tue May 27 16:15:29 CEST 2025","passed","Tue May 27 16:15:40 CEST 2025","","genResScript","",""
"
    Test the system response for disturbance rejection with different R and C values.
    ","14345","test_rectifier[1e-06-0.0001-0.01]","","Tue May 27 16:38:45 CEST 2025","passed","Tue May 27 16:39:00 CEST 2025","","genResScript","",""
"
    Test the system response for disturbance rejection with different R and C values.
    ","15362","test_rectifier[1e-05-0.0001-0.0001]","","Tue May 27 16:13:13 CEST 2025","passed","Tue May 27 16:13:28 CEST 2025","","genResScript","",""
"
    Test the system response for disturbance rejection with different R and C values.
    ","14343","test_rectifier[0.0001-1e-05-1e-05]","","Tue May 27 16:58:41 CEST 2025","passed","Tue May 27 16:58:55 CEST 2025","","genResScript","",""
"
    Test the system response for disturbance rejection with different R and C values.
    ","14334","test_rectifier[0.0001-1e-06-0.0001]","","Tue May 27 16:57:58 CEST 2025","passed","Tue May 27 16:58:12 CEST 2025","","genResScript","",""
"
    Test the system response for disturbance rejection with different R and C values.
    ","9357","test_rectifier[0.001-0.001-1e-06]","","Tue May 27 16:20:20 CEST 2025","passed","Tue May 27 16:20:29 CEST 2025","","genResScript","",""
"
    Test the system response for disturbance rejection with different R and C values.
    ","14344","test_rectifier[1e-05-0.01-1e-06]","","Tue May 27 16:33:06 CEST 2025","passed","Tue May 27 16:33:21 CEST 2025","","genResScript","",""
"
    Test the system response for disturbance rejection with different R and C values.
    ","15356","test_rectifier[1e-05-1e-06-1e-05]","","Tue May 27 17:03:51 CEST 2025","passed","Tue May 27 17:04:06 CEST 2025","","genResScript","",""
"
    Test the system response for disturbance rejection with different R and C values.
    ","10351","test_rectifier[0.001-1e-05-0.01]","","Tue May 27 16:22:02 CEST 2025","passed","Tue May 27 16:22:12 CEST 2025","","genResScript","",""
"
    Test the system response for disturbance rejection with different R and C values.
    ","14352","test_rectifier[1e-06-0.001-1e-05]","","Tue May 27 16:52:47 CEST 2025","passed","Tue May 27 16:53:01 CEST 2025","","genResScript","",""
"
    Test the system response for disturbance rejection with different R and C values.
    ","9331","test_rectifier[0.001-0.001-0.01]","","Tue May 27 16:20:44 CEST 2025","passed","Tue May 27 16:20:53 CEST 2025","","genResScript","",""
"
    Test the system response for disturbance rejection with different R and C values.
    ","14351","test_rectifier[0.001-0.01-0.01]","","Tue May 27 16:22:56 CEST 2025","passed","Tue May 27 16:23:11 CEST 2025","","genResScript","",""
"
    Test the system response for disturbance rejection with different R and C values.
    ","14344","test_rectifier[0.0001-0.01-1e-05]","","Tue May 27 16:30:31 CEST 2025","passed","Tue May 27 16:30:45 CEST 2025","","genResScript","",""
"
    Test the system response for disturbance rejection with different R and C values.
    ","14348","test_rectifier[1e-06-0.01-0.001]","","Tue May 27 16:29:08 CEST 2025","passed","Tue May 27 16:29:22 CEST 2025","","genResScript","",""
"
    Test the system response for disturbance rejection with different R and C values.
    ","14347","test_rectifier[1e-05-0.01-0.0001]","","Tue May 27 16:31:28 CEST 2025","passed","Tue May 27 16:31:42 CEST 2025","","genResScript","",""
"
    Test the system response for disturbance rejection with different R and C values.
    ","13355","test_rectifier[1e-05-0.0001-0.01]","","Tue May 27 16:38:17 CEST 2025","passed","Tue May 27 16:38:31 CEST 2025","","genResScript","",""
"
    Test the system response for disturbance rejection with different R and C values.
    ","14346","test_rectifier[1e-05-1e-05-0.001]","","Tue May 27 16:55:14 CEST 2025","passed","Tue May 27 16:55:28 CEST 2025","","genResScript","",""
"
    Test the system response for disturbance rejection with different R and C values.
    ","14352","test_rectifier[1e-05-0.001-1e-05]","","Tue May 27 16:51:44 CEST 2025","passed","Tue May 27 16:51:58 CEST 2025","","genResScript","",""
